epoch,train/acc,train/base_lr,train/coco/bbox_mAP,train/coco/bbox_mAP_50,train/coco/bbox_mAP_75,train/coco/bbox_mAP_l,train/coco/bbox_mAP_m,train/coco/bbox_mAP_s,train/data_time,train/loss,train/loss_bbox,train/loss_cls,train/loss_rpn_bbox,train/loss_rpn_cls,train/lr,train/memory,train/time,val/acc,val/base_lr,val/coco/bbox_mAP,val/coco/bbox_mAP_50,val/coco/bbox_mAP_75,val/coco/bbox_mAP_l,val/coco/bbox_mAP_m,val/coco/bbox_mAP_s,val/data_time,val/iter,val/loss,val/loss_bbox,val/loss_cls,val/loss_rpn_bbox,val/loss_rpn_cls,val/lr,val/memory,val/step,val/time,test/coco_bbox_mAP,test/coco_bbox_mAP_50,test/coco_bbox_mAP_75,test/coco_bbox_mAP_l,test/coco_bbox_mAP_m,test/coco_bbox_mAP_s
84.0,99.819712,0.000008,,,,,,,0.015014,0.015048,0.009896,0.004066,0.000944,0.000142,0.000002,2650.211538,0.194268,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,99.815956,0.000007,,,,,,,0.014988,0.015063,0.009921,0.004032,0.000946,0.000165,0.000002,2645.086538,0.194184,,,,,,,,,,,,,,,,,,,,,,,,,
86.0,99.841309,0.000006,,,,,,,0.014609,0.014674,0.009667,0.003939,0.000920,0.000147,0.000001,2647.413462,0.193088,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,99.815017,0.000006,,,,,,,0.014468,0.015121,0.009958,0.004131,0.000903,0.000129,0.000001,2659.846154,0.193440,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,99.826285,0.000005,,,,,,,0.014647,0.014575,0.009488,0.004019,0.000922,0.000146,0.000001,2645.413462,0.192598,,,,,,,,,,,,,,,,,,,,,,,,,
89.0,99.815956,0.000004,,,,,,,0.014740,0.014730,0.009659,0.003996,0.000932,0.000142,0.000001,2662.798077,0.193531,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,99.830980,0.000004,,,,,,,0.016462,0.014724,0.009736,0.003999,0.000876,0.000112,0.000001,2642.115385,0.210286,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,99.829102,0.000003,,,,,,,0.017072,0.014588,0.009524,0.004005,0.000887,0.000172,0.000001,2632.201923,0.222917,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,99.847882,0.000003,,,,,,,0.017517,0.014241,0.009296,0.003947,0.000873,0.000124,0.000001,2632.067308,0.219851,,,,,,,,,,,,,,,,,,,,,,,,,
93.0,99.838492,0.000003,,,,,,,0.017116,0.014092,0.009283,0.003798,0.000890,0.000122,0.000001,2634.057692,0.220040,,,,,,,,,,,,,,,,,,,,,,,,,
94.0,99.832858,0.000002,,,,,,,0.016810,0.014358,0.009401,0.003937,0.000883,0.000136,0.000001,2668.317308,0.223124,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,99.829102,0.000002,,,,,,,0.016875,0.014395,0.009402,0.003942,0.000900,0.000150,0.000001,2659.326923,0.223503,,,,,,,,,,,,,,,,,,,,,,,,,
96.0,99.825346,0.000002,,,,,,,0.016811,0.014447,0.009356,0.004093,0.000874,0.000124,0.000001,2633.336538,0.219704,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,99.842248,0.000001,,,,,,,0.015814,0.014302,0.009378,0.003874,0.000881,0.000169,0.000001,2610.826923,0.202654,,,,,,,,,,,,,,,,,,,,,,,,,
98.0,99.847882,0.000001,,,,,,,0.016078,0.014486,0.009509,0.003926,0.000884,0.000166,0.000001,2627.163462,0.202186,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,99.840370,0.000001,,,,,,,0.016558,0.014038,0.009269,0.003803,0.000851,0.000115,0.000001,2641.028846,0.203334,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,99.837553,0.000001,,,,,,,0.015601,0.014232,0.009349,0.003880,0.000863,0.000139,0.000001,2634.355769,0.202358,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.312000,0.604000,0.257000,0.700000,0.581000,0.286000,0.002354,,,,,,,,,1.000000,0.040028,,,,,,
,,,,,,,,,,,,,,,,,,,,0.413000,0.635000,0.498000,0.600000,0.616000,0.393000,0.002248,,,,,,,,,2.000000,0.037034,,,,,,
,,,,,,,,,,,,,,,,,,,,0.413000,0.634000,0.502000,0.600000,0.693000,0.386000,0.002224,,,,,,,,,3.000000,0.037055,,,,,,
,,,,,,,,,,,,,,,,,,,,0.446000,0.649000,0.548000,0.800000,0.740000,0.415000,0.002272,,,,,,,,,4.000000,0.037090,,,,,,
